"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"946",162,193,0.0038,49,1.557,1.5294695481,1.971,1.018,34,NA,0.414,2.693,4.704,4.888,4.222,1,43,0.79,NA,NA,0.27,0,"37","F2"
"192",162,193,NA,48,1.55,1.7014270033,1.72,0.911,22,NA,0.17,1.772,4.037,3.895,6.369,4,41,0.54,NA,NA,0.11,1,"8","F2"
"1011",170,190,0.0314,25,0.542,1.2071269488,0.709,0.449,20,NA,0.167,1.301,1.914,2.2,2.114,2,33,0.61,3.221,1.309,0.31,0,"39","F2"
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.342,4.283,4.639,4,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"98",170,190,NA,28.5,2.127,1.9144914491,2.474,1.111,27,NA,0.347,3.247,4.819,4.447,4.714,3,35,0.77,2.781,1.129,0.16,2,"4","F2"
"101",167,193,NA,36,1.384,1.7192546584,1.384,0.805,25,NA,0,2.681,3.415,3.511,3.375,2,37,0.68,2.783,1.146,0,1,"4","F2"
"834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.208,3.763,3.536,4.279,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.262,0.876,0.878,1.609,NA,NA,NA,NA,NA,NA,NA,"34","F2"
"329",168,193,0.0131,44,1.799,1.9596949891,1.799,0.918,34,4.7146,0,3.239,3.813,4.057,4.485,3,47,0.72,3.05,1.167,0,0,"13","F2"
"52",NA,NA,NA,NA,0.607,1.5807291667,0.681,0.384,NA,NA,0.074,1.232,1.35,1.186,1.5,NA,NA,NA,NA,NA,0.12,NA,"2","F2"
"429",168,190,0.0314,30,1.479,1.4585798817,1.876,1.014,21,NA,0.397,1.805,3.099,2.839,3.908,1,30,0.7,NA,NA,0.27,2,"17","F2"
"238",160,193,0.0085,53.5,NA,NA,NA,NA,22,5.3366,NA,3.342,4.283,4.639,4,0,43,0.51,NA,NA,NA,0,"10","F2"
"1101",160,181,NA,32,NA,NA,NA,NA,20,NA,NA,1.941,4.875,5.373,5.649,2,39,0.51,2.753,1.728,NA,0,"43","F2"
"109",162,NA,NA,19,1.553,1.6521276596,1.983,0.94,17,NA,0.43,2.532,3.589,4.034,2.665,2,17,1,NA,NA,0.28,0,"5","F2"
"777",165,186,NA,19,1.238,1.4462616822,1.57,0.856,20,NA,0.332,1.9,3.666,3.892,4.154,0,20,1,NA,NA,0.27,0,"30","F2"
"790",166,NA,0.018,NA,NA,NA,NA,NA,12,NA,NA,2.243,2.222,2.502,3.789,3,18,0.67,NA,NA,NA,0,"31","F2"
