"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"417",170,195,NA,32.5,1.543,1.5097847358,1.842,1.022,16,NA,0.299,2.163,3.551,3.351,3.093,2,33,0.48,NA,NA,0.19,0,"17","F2"
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.355,2.641,1.609,1.573,NA,NA,NA,2.678,1.121,NA,NA,"4","F2"
"601",161,174,NA,19,0.817,1.1621621622,1.13,0.703,14,NA,0.313,1.378,2.939,3.096,2.947,1,23,0.61,NA,NA,0.38,1,"24","F2"
"576",165,190,NA,39,1.129,1.2475138122,1.524,0.905,16,NA,0.395,1.665,2.623,3.4,2.907,4,34,0.47,NA,NA,0.35,1,"23","F2"
"519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.794,3.979,3.989,3.983,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.068,6.72,6.827,6.88,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"378",170,194,0.0107,28,1.356,1.6536585366,1.545,0.82,19,5.1748,0.189,3.065,3.36,3.315,3.56,2,28,0.68,2.837,1.143,0.14,0,"15","F2"
"32",166,187,NA,29,0.963,1.350631136,1.352,0.713,14,4.3252,0.389,1.874,2.878,2.757,2.664,3,35,0.4,3.031,1.55,0.4,2,"2","F2"
"1106",161,190,NA,41,NA,NA,NA,NA,21,NA,NA,1.563,1.996,1.95,3.478,2,42,0.5,NA,NA,NA,1,"43","F2"
"579",170,NA,NA,NA,0.859,1.385483871,0.992,0.62,NA,NA,0.133,1.325,1.203,1.837,1.28,NA,NA,NA,NA,NA,0.15,NA,"23","F2"
"90",NA,NA,NA,NA,1.114,1.9681978799,1.218,0.566,NA,NA,0.104,1.824,2.522,2.28,2.998,NA,NA,NA,NA,NA,0.09,NA,"4","F2"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.978,4.172,4.5,3.964,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"997",160,181,0.0081,27,1.436,1.7280385078,1.711,0.831,19,NA,0.275,2.107,3.71,3.737,4.238,2,25,0.76,2.259,1.337,0.19,2,"39","F2"
"913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.038,3.669,3.884,4.734,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"733",154,181,NA,33,NA,NA,NA,NA,20,NA,NA,2.59,2.845,2.932,4.479,3,36,0.56,NA,NA,NA,0,"29","F2"
"726",166,187,0.0228,29.5,NA,NA,NA,NA,22,NA,NA,1.445,2.521,2.631,3.152,2,33,0.67,NA,NA,NA,2,"28","F2"
"1032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294,2.088,2.026,3.569,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"372",168,193,0.0102,29,1.844,1.7445600757,2.404,1.057,21,5.3248,0.56,2.42,4.057,4.251,3.94,3,33,0.64,NA,NA,0.3,2,"15","F2"
"864",155,181,0.0125,26,NA,NA,NA,NA,20,NA,NA,2.817,4.565,4.361,4.176,2,20,1,NA,NA,NA,0,"34","F2"
"365",161,195,0.0118,34.5,1.936,2.0314795383,2.602,0.953,36,4.2784,0.666,3.037,4.865,4.757,4.268,0,35,1.03,2.82,1.107,0.34,0,"15","F2"
"462",160,185,0.012,22,0.907,1.2340136054,1.165,0.735,16,4.9462,0.258,1.263,2.816,2.745,3.053,2,25,0.64,NA,NA,0.28,2,"18","F2"
"247",165,179,0.0066,13.5,NA,NA,NA,NA,NA,3.6684,NA,2.599,4.693,4.665,5.215,4,20,NA,NA,NA,NA,0,"10","F2"
"130",160,176,NA,21,1.429,1.78625,1.429,0.8,10,NA,0,1.998,2.683,2.823,2.811,2,18,0.56,3.382,1.615,0,3,"5","F2"
"888",174,196,0.0046,36.5,NA,NA,NA,NA,18,NA,NA,1.778,2.877,2.936,3.4,4,40,0.45,NA,NA,NA,0,"35","F2"
"389",162,189,NA,29,1.298,1.7399463807,1.596,0.746,22,4.6218,0.298,2.608,3.633,4.245,3.692,2,36,0.61,NA,NA,0.23,2,"15","F2"
"355",161,185,NA,29,1.606,1.6694386694,2.063,0.962,13,NA,0.457,1.956,4.454,4.979,5.02,1,28,0.46,3.138,1.589,0.28,1,"14","F2"
"207",168,193,0.0065,45,1.795,1.6259057971,2.265,1.104,26,NA,0.47,2.238,4.27,4.809,5.393,4,41,0.63,NA,NA,0.26,1,"8","F2"
"1102",166,190,NA,27,NA,NA,NA,NA,24,NA,NA,2.137,5.031,4.96,4.985,3,37,0.65,3.455,1.488,NA,0,"43","F2"
"675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.344,2.407,2.634,3.278,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218,4.375,4.685,4.64,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"186",170,193,NA,32,1.114,1.5429362881,1.114,0.722,16,NA,0,1.549,2.646,2.782,6.101,3,30,0.53,NA,NA,0,0,"8","F2"
"437",167,190,0.0098,34,1.454,1.7126030624,1.557,0.849,20,NA,0.103,1.758,3.376,3.106,3.622,3,32,0.63,NA,NA,0.07,1,"17","F2"
"1109",156,183,0.0214,29,NA,NA,NA,NA,18,NA,NA,1.477,2.664,3.137,3.387,2,32,0.56,2.573,1.291,NA,1,"43","F2"
"936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.082,3.953,3.969,4.157,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"194",168,195,0.0127,40,1.415,1.2600178094,2.045,1.123,26,NA,0.63,1.84,3.241,3.558,5.964,5,37,0.7,NA,NA,0.45,0,"8","F2"
"584",156,174,NA,25,1.283,1.5476477684,1.468,0.829,17,NA,0.185,1.305,2.553,2.434,2.662,3,20,0.85,NA,NA,0.14,1,"23","F2"
"127",170,NA,NA,NA,0.947,1.8641732283,1.367,0.508,10,NA,0.42,1.607,2.568,2.817,2.745,3,38,0.26,3.262,1.449,0.44,1,"5","F2"
"354",NA,NA,NA,NA,0.648,1.539192399,0.739,0.421,NA,NA,0.091,0.815,1.573,1.389,1.438,NA,NA,NA,NA,NA,0.14,NA,"14","F2"
"619",182,205,NA,29,0.943,1.7692307692,1.063,0.533,17,NA,0.12,0.864,1.597,1.904,2.038,3,23,0.74,NA,NA,0.13,0,"24","F2"
"493",160,NA,0.0064,NA,NA,NA,NA,NA,21,NA,NA,1.96,3.71,3.836,3.863,3,27,0.78,2.43,1.233,NA,1,"19","F2"
"1048",167,183,0.018,26,1.411,1.6877990431,1.634,0.836,15,NA,0.223,1.717,2.958,2.68,3.452,2,32,0.47,NA,NA,0.16,1,"41","F2"
"718",160,194,0.0092,46,NA,NA,NA,NA,20,NA,NA,1.901,3.202,2.969,3.807,2,41,0.49,NA,NA,NA,1,"28","F2"
"868",160,194,NA,58,NA,NA,NA,NA,27,NA,NA,2.785,4.559,4.926,4.858,2,43,0.63,NA,NA,NA,0,"34","F2"
"558",159,187,0.0255,42,NA,NA,NA,NA,21,NA,NA,2.049,3.514,3.656,3.927,3,32,0.66,NA,NA,NA,0,"22","F2"
"460",160,187,0.0166,28,0.99,1.1224489796,1.489,0.882,17,6.0733,0.499,2.056,3.424,2.874,3.396,3,31,0.55,NA,NA,0.5,1,"18","F2"
"255",153,185,NA,52,NA,NA,NA,NA,35,4.3938,NA,1.577,1.834,2.069,0.709,3,56,0.63,NA,NA,NA,0,"10","F2"
"129",172,200,NA,30,1.198,1.6255088195,1.268,0.737,10,NA,0.07,1.126,1.819,2.287,2.406,2,29,0.34,2.777,1.501,0.06,0,"5","F2"
"557",154,181,0.0109,27.5,NA,NA,NA,NA,18,NA,NA,1.909,3.591,3.961,4.095,0,32,0.56,NA,NA,NA,2,"22","F2"
"831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.419,2.603,2.544,3.184,NA,NA,NA,NA,NA,NA,NA,"32","F2"
"622",NA,NA,NA,NA,1.226,1.7004160888,1.409,0.721,NA,NA,0.183,0.787,1.592,0,2.967,NA,NA,NA,NA,NA,0.15,NA,"24","F2"
"564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.115,1.629,1.041,0.895,NA,NA,NA,NA,NA,NA,NA,"22","F2"
"547",154,181,NA,35,NA,NA,NA,NA,27,NA,NA,2.571,4.475,4.468,5.641,1,38,0.71,NA,NA,NA,0,"22","F2"
"187",167,190,0.006,34,1.645,1.3870151771,1.785,1.186,18,NA,0.14,1.873,3.789,3.839,3.973,2,30,0.6,NA,NA,0.09,1,"8","F2"
"1019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.626,2.725,2.395,4.143,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.457,2.805,1.194,2.398,NA,NA,NA,NA,NA,NA,NA,"28","F2"
"120",158,178,NA,27.5,1.524,1.9340101523,1.524,0.788,18,NA,0,2.404,3.313,3.138,3.041,2,29,0.62,NA,NA,0,0,"5","F2"
"477",160,178,0.033,27,NA,NA,NA,NA,27,NA,NA,1.755,2.958,2.562,3.756,4,38,0.71,NA,NA,NA,0,"19","F2"
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.689,4.35,4.321,5.096,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.636,3.188,3.101,3.72,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"262",170,193,NA,37,1.998,1.6444444444,2.347,1.215,23,NA,0.349,2.474,3.624,4.287,4.471,3,41,0.56,NA,NA,0.17,2,"11","F2"
"1110",181,NA,0.005,26.5,NA,NA,NA,NA,17,NA,NA,0.963,1.97,2.039,1.976,2,29,0.59,2.588,0.974,NA,0,"43","F2"
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.782,3.029,3.433,3.166,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"534",181,205,0.0152,31,0.963,2.4075,0.963,0.4,23,NA,0,0,1.287,1.426,2.23,0,33,0.7,2.109,0.917,0,0,"21","F2"
"664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.968,4.18,4.305,4.567,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"630",156,181,0.0093,30,1.272,1.7400820793,1.272,0.731,20,NA,0,1.605,2.74,2.942,3.184,3,34,0.59,NA,NA,0,0,"25","F2"
"69696969",172,NA,NA,NA,1.74,1.9099890231,1.74,0.911,18,4.7916,0,NA,NA,NA,NA,1,38,0.47,2.999,1.374,0,1,"11","Asag"
"1096",160,176,0.0169,20,NA,NA,NA,NA,12,NA,NA,1.103,2.217,1.52,3.274,2,22,0.55,NA,NA,NA,1,"43","F2"
"826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.354,2.837,2.221,3.052,NA,NA,NA,NA,NA,NA,NA,"32","F2"
"308",165,193,0.0156,51,1.586,1.5549019608,2.351,1.02,36,NA,0.765,2.87,6.051,5.788,6.212,1,50,0.72,2.753,1.31,0.48,0,"12","F2"
"455",161,190,0.0126,40,2.885,2.0920957215,3.283,1.379,29,4.9496,0.398,4.667,6.516,6.908,6.711,3,42,0.69,2.499,1.37,0.14,0,"18","F2"
"612",159,178,NA,28,2.182,2.0880382775,2.518,1.045,19,NA,0.336,3.146,4.905,4.799,4.725,2,30,0.63,NA,NA,0.15,0,"24","F2"
"890",167,190,NA,33.5,NA,NA,NA,NA,14,NA,NA,2.053,3.897,4.179,4.891,2,33,0.42,2.484,1.156,NA,3,"35","F2"
"652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.422,2.223,1.971,3.095,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"609",NA,NA,NA,NA,1.136,1.6879643388,1.285,0.673,NA,NA,0.149,1.153,2.128,1.88,2.219,NA,NA,NA,NA,NA,0.13,NA,"24","F2"
"568",160,NA,0.0082,NA,NA,NA,NA,NA,19,NA,NA,2.239,3.954,3.709,4.324,2,35,0.54,NA,NA,NA,1,"22","F2"
"441",167,193,0.0064,42,1.943,1.7194690265,2.471,1.13,21,NA,0.528,2.859,5.201,4.89,5.017,3,41,0.51,NA,NA,0.27,2,"17","F2"
"518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.836,3.058,3.151,3.243,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"955",162,190,0.0102,37,2.274,1.8235765838,2.81,1.247,24,NA,0.536,2.947,5.683,5.388,4.777,2,41,0.59,3.164,1.597,0.24,3,"37","F2"
"1081",165,183,0.0066,21,NA,NA,NA,NA,17,NA,NA,1.928,2.975,3.371,4.142,1,27,0.63,NA,NA,NA,1,"42","F2"
"83",166,189,NA,31,1.398,1.7453183521,1.454,0.801,19,NA,0.056,2.444,3.358,3.395,3.441,2,32,0.59,2.998,1.195,0.04,1,"4","F2"
"970",160,193,0.0198,48,NA,NA,NA,NA,22,NA,NA,2.322,3.664,3.962,4.325,1,40,0.55,NA,NA,NA,3,"38","F2"
"419",160,190,0.0051,35,1.878,1.7767265847,2.369,1.057,31,NA,0.491,2.199,3.927,4.088,4.376,2,43,0.72,2.516,1.352,0.26,0,"17","F2"
"486",153,182,0.0067,30.5,NA,NA,NA,NA,32,NA,NA,3.047,6.561,7.213,6.903,3,37,0.86,1.957,1.128,NA,0,"19","F2"
"702",167,188,0.02,37,NA,NA,NA,NA,20,NA,NA,1.852,3.292,1.668,4.026,2,33,0.61,NA,NA,NA,1,"27","F2"
"631",NA,NA,NA,NA,0.864,1.6271186441,0.864,0.531,NA,NA,0,0,1.709,1.846,1.786,NA,NA,NA,NA,NA,0,NA,"25","F2"
"349",185,205,NA,28,0.972,1.5163806552,1.46,0.641,16,NA,0.488,1.449,2.819,2.649,3.249,2,27,0.59,NA,NA,0.5,0,"14","F2"
"582",172,197,NA,31,1.467,2.0403337969,1.467,0.719,22,NA,0,1.607,2.423,2.686,2.895,4,33,0.67,NA,NA,0,0,"23","F2"
"964",204,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1.553,2.398,1.198,2.142,0,16,1.38,NA,NA,NA,0,"38","F2"
"363",170,195,0.0032,30,1.477,1.5580168776,1.91,0.948,21,NA,0.433,1.728,3.827,3.91,4.081,3,28,0.75,2.211,0.962,0.29,0,"14","F2"
"773",165,186,0.0117,26,1.077,1.3530150754,1.419,0.796,20,NA,0.342,2.012,3.655,3.128,3.609,0,29,0.69,NA,NA,0.32,0,"30","F2"
"906",168,195,0.0129,39,NA,NA,NA,NA,26,NA,NA,2.396,3.864,3.868,4.788,3,43,0.6,3.112,1.368,NA,3,"35","F2"
"892",168,196,NA,21,NA,NA,NA,NA,18,NA,NA,2.031,2.352,2.718,2.97,4,25,0.72,NA,NA,NA,1,"35","F2"
"525",156,181,0.0062,39,1.736,1.7805128205,2.314,0.975,29,NA,0.578,3.092,5.219,5.713,5.452,1,42,0.69,2.5,1.297,0.33,0,"21","F2"
"338",168,195,0.0062,36.5,2.07,1.6222570533,2.661,1.276,22,5.3414,0.591,2.432,5.327,5.557,5.297,3,36,0.61,NA,NA,0.29,1,"13","F2"
"668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.448,3.836,4.572,4.619,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"267",172,196,NA,31,1.371,1.5149171271,2.06,0.905,18,NA,0.689,2.033,3.554,4.041,4.135,2,30,0.6,2.935,1.086,0.5,1,"11","F2"
"431",166,193,0.0049,41,1.559,1.7283813747,2.023,0.902,20,NA,0.464,2.457,3.529,3.525,3.45,2,37,0.54,2.896,1.422,0.3,2,"17","F2"
"260",178,193,0.0096,41,NA,NA,NA,NA,19,5.1662,NA,2.495,3.609,3.871,4.036,4,35,0.54,NA,NA,NA,0,"10","F2"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.292,4.103,4.405,4.004,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"155",172,200,0.0141,32,1.086,2.072519084,1.21,0.524,16,NA,0.124,1.695,3.136,2.88,2.822,3,32,0.5,3.1055,1.2545,0.11,1,"6","F2"
"716",178,NA,0.0102,NA,NA,NA,NA,NA,19,NA,NA,1.236,1.685,1.653,2.889,3,39,0.49,NA,NA,NA,0,"28","F2"
"49",165,NA,0.0084,NA,1.07,1.4190981432,1.312,0.754,20,4.8796,0.242,1.899,3.5,3.438,3.538,1,38,0.53,NA,NA,0.23,1,"2","F2"
"814",156,NA,0.0137,NA,NA,NA,NA,NA,19,NA,NA,2.306,2.939,2.804,3.902,2,20,0.95,NA,NA,NA,2,"32","F2"
"806",154,181,0.0148,30,NA,NA,NA,NA,26,NA,NA,3.903,6.009,6.477,2.927,3,39,0.67,NA,NA,NA,0,"31","F2"
"459",165,189,0.0146,33,1.385,1.3565132223,1.78,1.021,25,6.1973333333,0.395,2.137,3.687,3.246,3.704,3,37,0.68,NA,NA,0.29,0,"18","F2"
"440",166,195,0.0074,43.5,1.472,1.8423028786,1.708,0.799,16,NA,0.236,1.895,3.271,3.587,2.878,1,33,0.48,2.438,1.419,0.16,0,"17","F2"
"766",151,178,NA,32,1.382,1.5830469645,1.846,0.873,26,NA,0.464,3.136,5.799,5.745,6.121,2,35,0.74,NA,NA,0.34,0,"30","F2"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.885,3.483,3.498,3.683,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1055",168,195,0.0148,46,1.606,2.1791044776,1.606,0.737,25,NA,0,1.617,3.223,3.604,4.052,4,45,0.56,NA,NA,0,0,"41","F2"
"358",156,183,NA,37,2.002,1.7363399827,2.657,1.153,21,NA,0.655,2.162,4.895,4.377,4.764,1,40,0.53,NA,NA,0.33,1,"14","F2"
"624",NA,NA,NA,NA,0.943,1.9284253579,1.203,0.489,NA,NA,0.26,1.417,1.457,1.408,2.223,NA,NA,NA,NA,NA,0.28,NA,"24","F2"
"320",170,202,NA,NA,1.626,1.5296331138,2.277,1.063,22,6.223,0.651,2.4,3.787,3.844,3.476,0,42,0.52,2.817,1.455,0.4,0,"13","F2"
"198",162,190,0.005,35,NA,NA,NA,NA,23,NA,NA,1.651,3.812,2.638,4.891,2,30,0.77,NA,NA,NA,0,"8","F2"
"336",166,183,NA,25.5,1.29,1.4413407821,1.907,0.895,13,5.2926,0.617,1.822,3.433,2.94,3.927,1,19,0.68,NA,NA,0.48,1,"13","F2"
"1080",158,174,0.0165,26.5,NA,NA,NA,NA,18,NA,NA,1.415,2.358,2.549,2.961,4,32,0.56,NA,NA,NA,2,"42","F2"
"776",161,190,0.0319,40,2.039,2.1830835118,2.181,0.934,24,NA,0.142,2.186,4.197,4.643,3.85,3,44,0.55,3.303,1.343,0.07,1,"30","F2"
"1056",166,190,0.0162,32,1.589,2.414893617,1.589,0.658,21,NA,0,1.794,3.476,3.897,3.94,3,32,0.66,NA,NA,0,1,"41","F2"
"249",160,178,0.0204,24.5,NA,NA,NA,NA,23,4.0962,NA,2.589,3.885,3.937,3.792,5,29,0.79,2.576,1.364,NA,2,"10","F2"
"382",170,196,0.0052,35.5,1.391,1.5169029444,1.65,0.917,16,5.0082,0.259,1.977,2.858,3.003,2.846,4,36,0.44,NA,NA,0.19,0,"15","F2"
"688",166,190,0.0054,33,NA,NA,NA,NA,21,NA,NA,1.714,4.211,5.033,4.576,3,37,0.57,2.772,1.381,NA,1,"27","F2"
"444",160,185,0.0351,30,1.342,1.4618736383,1.58,0.918,18,5.4293,0.238,2.192,3.762,3.832,4.144,1,33,0.55,NA,NA,0.18,2,"18","F2"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.429,5.048,4.861,4.511,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1066",162,183,0.0063,31,1.183,1.6073369565,1.365,0.736,21,NA,0.182,2.038,3.104,3.259,3.195,5,30,0.7,NA,NA,0.15,0,"41","F2"
"1003",166,181,0.0105,24,0.909,1.4027777778,1.32,0.648,14,NA,0.411,1.389,2.378,2.357,2.722,1,23,0.61,2.876,1.067,0.45,2,"39","F2"
"42",166,193,0.0071,32,0.948,1.253968254,1.397,0.756,15,4.1082,0.449,0.895,1.375,1.268,1.607,0,28,0.54,NA,NA,0.47,1,"2","F2"
"740",159,190,NA,43,NA,NA,NA,NA,27,NA,NA,2.075,3.781,4.076,4.706,4,43,0.63,NA,NA,NA,0,"29","F2"
"837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.601,2.989,3.177,3.708,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"443",172,190,0.0119,33,1.301,1.6323713927,1.795,0.797,20,5.189,0.494,1.698,3.281,3.58,3.914,3,39,0.51,3,1.18,0.38,1,"18","F2"
"715",160,NA,0.0153,NA,NA,NA,NA,NA,24,NA,NA,2.395,3.756,3.625,4.408,3,33,0.73,NA,NA,NA,0,"28","F2"
"204",168,190,0.0035,45,1.425,1.8037974684,1.605,0.79,28,NA,0.18,2.017,3.973,4.441,3.04,3,55,0.51,3.287,1.203,0.13,0,"8","F2"
"828",165,178,0.0192,20,NA,NA,NA,NA,19,NA,NA,1.879,3.447,3.444,4.077,2,23,0.83,2.32,1.003,NA,2,"32","F2"
"517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.513,3.813,3.705,6.017,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.505,4.18,4.348,4.377,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1099",160,190,NA,39,NA,NA,NA,NA,19,NA,NA,1.731,3.5,3.808,3.902,3,40,0.48,3.293,1.43,NA,0,"43","F2"
"1078",160,181,0.0243,27,NA,NA,NA,NA,24,NA,NA,1.606,3.158,2.699,3.691,3,33,0.73,NA,NA,NA,0,"42","F2"
"934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.399,4.808,5.868,6.105,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"712",156,171,0.009,25,NA,NA,NA,NA,16,NA,NA,2.149,3.248,2.956,3.779,5,20,0.8,NA,NA,NA,0,"28","F2"
"705",151,176,0.0086,25,NA,NA,NA,NA,19,NA,NA,1.94,3.05,3.198,3.967,3,31,0.61,NA,NA,NA,0,"28","F2"
"317",161,178,0.0117,25,1.43,1.4019607843,1.921,1.02,18,4.2794,0.491,2.248,3.783,4.125,3.889,2,24,0.75,NA,NA,0.34,3,"13","F2"
"40",NA,NA,NA,NA,0.522,1.3215189873,0.711,0.395,NA,NA,0.189,0.791,1.294,0.814,1.929,NA,NA,NA,NA,NA,0.36,NA,"2","F2"
"124",170,190,NA,26,1.003,1.7752212389,1.113,0.565,14,NA,0.11,1.501,1.655,1.547,2.259,2,28,0.5,NA,NA,0.11,0,"5","F2"
"714",167,193,0.0196,29.5,NA,NA,NA,NA,20,NA,NA,2.029,4.338,4.517,4.408,2,36,0.56,NA,NA,NA,2,"28","F2"
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.356,3.978,4.408,4.595,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"550",172,200,NA,27,NA,NA,NA,NA,13,NA,NA,1.453,2.819,2.969,3.162,0,22,0.59,NA,NA,NA,0,"22","F2"
"146",172,196,0.0118,35,0.96,1.3852813853,1.211,0.693,20,NA,0.251,1.542,2.593,2.741,3.18,3,36,0.56,2.652,1.187,0.26,0,"6","F2"
"446",160,190,0.0065,37,NA,NA,NA,NA,18,5.101,NA,2.528,3.737,4.438,4.132,2,41,0.44,NA,NA,NA,0,"18","F2"
"760",172,195,NA,28,1.09,1.4100905563,1.69,0.773,17,NA,0.6,1.822,4.02,2.024,4.424,5,24,0.71,2.536,1.311,0.55,0,"30","F2"
"603",165,193,NA,35,1.071,1.5819793205,1.189,0.677,22,NA,0.118,1.828,2.804,2.987,3.178,1,34,0.65,NA,NA,0.11,1,"24","F2"
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.445,4.228,4.739,4.248,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"326",160,185,0.0113,30,1.387,1.4523560209,2.097,0.955,16,5.4998,0.71,1.951,3.82,4.173,4.36,1,27,0.59,NA,NA,0.51,1,"13","F2"
"112",172,200,NA,38,1.364,1.5953216374,1.604,0.855,19,NA,0.24,1.595,2.175,2.323,2.595,2,35,0.54,2.984,1.421,0.18,0,"5","F2"
"988",170,195,0.0064,37,NA,NA,NA,NA,18,NA,NA,2.531,3.758,3.696,3.774,5,34,0.53,2.615,1.245,NA,1,"38","F2"
"269",172,195,NA,36,1.955,2.0071868583,2.401,0.974,27,NA,0.446,2.685,4.592,5.059,5.366,3,39,0.69,2.945,1.373,0.23,0,"11","F2"
"348",NA,NA,NA,NA,0.822,1.338762215,1.092,0.614,NA,NA,0.27,1.261,1.979,1.717,2.256,NA,NA,NA,NA,NA,0.33,NA,"14","F2"
"764",167,181,0.0104,25,1.822,2.5625879044,1.822,0.711,13,NA,0,1.22,2.315,2.377,2.94,3,26,0.5,NA,NA,0,1,"30","F2"
"623",168,189,NA,26,1.15,1.3325608343,1.15,0.863,22,NA,0,1.405,2.281,2.315,2.75,2,30,0.73,2.596,1.036,0,0,"24","F2"
"513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.531,3.149,3.122,4.427,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"556",161,181,0.0051,25,NA,NA,NA,NA,16,NA,NA,1.619,2.793,3.475,3.67,2,30,0.53,NA,NA,NA,3,"22","F2"
"158",160,187,NA,33.5,2.331,1.9473684211,2.411,1.197,32,NA,0.08,3.183,4.514,4.527,4.954,3,40,0.8,NA,NA,0.03,0,"7","F2"
"853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.587,2.262,1.884,3.999,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"994",167,190,NA,37,1.152,1.4845360825,1.264,0.776,20,NA,0.112,1.977,3.024,2.623,3.471,3,25,0.8,NA,NA,0.1,0,"39","F2"
"132",165,187,NA,28,1.135,1.5275908479,1.505,0.743,21,NA,0.37,1.702,3.94,3.995,3.37,3,30,0.7,2.3385,1.2745,0.33,2,"6","F2"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"4","F2"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.695,3.545,3.591,4.155,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"309",160,189,NA,31,1.876,2.3746835443,2.17,0.79,27,NA,0.294,3.177,5.253,5.421,5.939,2,40,0.68,NA,NA,0.16,0,"12","F2"
"115",170,195,NA,34.5,2.11,1.792693288,2.24,1.177,20,NA,0.13,3.104,4.721,5.017,4.4,0,35,0.57,3.088,1.329,0.06,2,"5","F2"
"374",167,197,0.012,41.5,1.494,1.3884758364,1.995,1.076,21,5.1288,0.501,2.824,3.435,4.109,3.99,4,40,0.53,3.06,1.705,0.34,1,"15","F2"
"616",170,195,0.007,29,1.049,1.9644194757,1.33,0.534,25,NA,0.281,1.397,2.561,2.272,2.154,1,30,0.83,2.965,1.241,0.27,0,"24","F2"
"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.283,5.623,5.804,5.789,NA,NA,NA,NA,NA,NA,NA,"10","F2"
