ID,DNA,RADseq_pool_100bp,RADseq_pool_150bp,Adapter_100bp,Adapter_150bp,W.S,CSr,P.H,L.L,L.W,Pti,Lam,LLW,P.L,L.M,N.L,S.H,Gsh,Ssh,SLD,Gen,B.T,F.T,SLL,SLW,Pet,FSr,Rot,Sht,RSR,RD1,RD2,RD3,RD4,Replanted,Block,Tray,Cross,TrayBlock
746,21,32,32,7,7,0.0112,1,33,NA,NA,NA,NA,NA,NA,NA,21,36,1,2,0.58,F2,167,190,NA,NA,NA,NA,NA,NA,NA,1.867,3.603,3.593,4.31,NA,NA,29,2,29
901,95.5,45,50,14,8,0.00150568181818179,1,25.5,NA,NA,NA,NA,NA,NA,NA,20,32,3,3,0.63,F2,160,182,2.721,1.326,NA,NA,NA,NA,NA,2.091,3.402,3.166,4.654,NA,NA,35,3,35
315,42.1,28,28,7,7,0.0037,1,36,2.523,1.14,0.231,2.292,2.010526,0.1,1,28,40,NA,3,0.7,F2,165,190,NA,NA,4.0578,NA,NA,NA,NA,2.635,4.643,4.219,4.653,NA,NA,13,2,13
60,15,NA,51,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2.211,3.894,4.314,4.243,NA,3,NA,NA,3
819,20.6,45,45,5,5,0.006,1,29,NA,NA,NA,NA,NA,NA,NA,14,34,NA,1,0.41,F2,165,181,3.0725,1.4305,NA,NA,NA,NA,NA,1.443,2.227,2.113,2.116,NA,NA,32,2,32
185,12.3,8,8,3,3,0.0246,1,24,1.423,0.783,0.25,1.173,1.498084,0.21,2,11,25,1,1,0.44,F2,166,182,2.752,1.506,NA,NA,NA,NA,NA,1.485,3.258,3.504,3.725,NA,NA,8,3,8
861,41.8,30,30,20,20,0.012,1,40,NA,NA,NA,NA,NA,NA,NA,26,46,NA,2,0.57,F2,160,189,NA,NA,NA,NA,NA,NA,NA,2.558,3.944,4.152,3.678,NA,NA,34,2,34
430,12,23,23,19,19,0.0097,1,32,2.098,0.947,NA,2.098,2.215417,NA,1,27,34,NA,4,0.79,F2,161,187,NA,NA,NA,NA,NA,NA,NA,2.284,4.321,4.414,4.595,NA,NA,17,3,17
258,17.2,3,3,2,2,0.0106,1,29.5,NA,NA,NA,NA,NA,NA,NA,22,29,NA,1,0.76,F2,168,193,2.478,1.033,4.5042,NA,NA,NA,NA,2.791,5.617,5.985,5.694,NA,NA,10,2,10
413,18.4,3,3,7,7,0.0095,1,29,2.345,1.355,0.28,2.065,1.523985,0.14,1,23,34,2,3,0.68,F2,165,187,2.668,1.427,4.8709,NA,NA,NA,NA,2.763,4.984,5.261,5.515,NA,NA,16,2,16
